No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
36;;CLD;CLD;CLD;CLD;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH
37;;ZB;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;RH
38;;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH
39;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
40;;RH;RH;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA
41;;RH;RH;ZA;RH;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH
42;;ZB;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA
43;;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH
44;;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH
45;;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;RH
46;;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH

